NomProduit,Descriptions,Categories,DateAjout,PrixUnitaire,Quantite,IdFournisseurs
Gel nettoyant visage purifiant L'Oréal,Nan,Produits de soin pour le visage,2022-04-16 18:41:10,1800.0,1,
Terrine de chevreuil,Nan,Charcuterie,2022-11-12 01:07:26,1700.0,1,
Pâté de perdreau,Nan,Charcuterie,2022-11-08 12:49:02,1800.0,1,
Crème pour les pieds à l'urée Scholl,Nan,Produits de soin pour les pieds,2022-10-17 01:44:41,1500.0,1,
Shampooing hydratant Timotei,Nan,Produits de soin capillaire,2022-03-28 20:08:09,1500.0,1,
Crème solaire peaux sensibles Avène,Nan,Produits de protection solaire,2022-08-03 16:57:09,2000.0,1,
Sachet de poivre noir,Nan,Condiment,2022-04-29 02:14:13,500.0,1,
Paquet de biscuits Petit Beurre,Nan,Biscuits,2022-09-27 21:27:09,1000.0,1,
Soin contour des lèvres L'Oréal,Nan,Produits de soin des lèvres,2022-07-07 07:12:14,700.0,1,
Sachet de sel,Nan,Condiment,2022-04-09 04:29:33,500.0,1,
Baume nourrissant pour les mains Nuxe,Nan,Produits de soin pour les mains,2022-11-03 15:43:32,1000.0,1,
Mortadelle,Nan,Charcuterie,2022-06-11 04:03:39,1700.0,1,
Crème raffermissante pour le corps Garnier,Nan,Produits de soin pour le corps,2022-05-16 00:52:43,2000.0,1,
Gel douche relaxant L'Occitane,Nan,Produits de douche,2022-02-23 18:44:03,1200.0,1,
Terrine de pigeon,Nan,Charcuterie,2022-10-09 12:45:50,1700.0,1,
Crème solaire visage et corps biodégradable La Roche-Posay,Nan,Produits de protection solaire,2022-03-30 20:43:18,2000.0,1,
Boîte de pâte de tomate,Nan,Condiment,2022-10-04 16:23:51,750.0,1,
Gel douche exfoliant Nivea,Nan,Produits de douche,2022-04-10 21:45:41,1200.0,1,
Terrine de faisan aux morilles,Nan,Charcuterie,2022-04-15 12:13:52,1700.0,1,
Rillettes de thon au citron,Nan,Charcuterie,2022-07-22 00:04:05,1500.0,1,
Rillettes d'oie,Nan,Charcuterie,2022-12-20 23:24:37,1500.0,1,
Soin anti-fatigue pour le visage Nivea,Nan,Produits de soin pour le visage,2022-06-25 22:01:28,2500.0,1,
Lingettes démaquillantes biodégradables Nivea,Nan,Produits de démaquillage,2022-07-19 03:21:00,800.0,1,
Jambon de la Forêt de Marly,Nan,Charcuterie,2022-08-02 00:55:20,2000.0,1,
Saucisse fumée,Nan,Charcuterie,2022-01-24 07:03:54,1400.0,1,
Bouteille de jus d'orange Jafpp,Nan,Jus,2022-06-04 06:03:25,1500.0,1,
Crème pour les mains Neutrogena,Nan,Produits de soin pour les mains,2022-10-22 23:44:20,1000.0,1,
Lingettes démaquillantes Nivea,Nan,Produits de démaquillage,2022-12-03 18:04:15,800.0,1,
Pâté de chevreuil,Nan,Charcuterie,2022-04-15 16:56:40,1800.0,1,
Pâté de cerf,Nan,Charcuterie,2022-03-06 08:08:00,1800.0,1,
Paquet de biscuits au chocolat,Nan,Biscuits,2022-04-26 16:49:49,1000.0,1,
Saucisson à l'Espelette,Nan,Charcuterie,2022-01-22 20:47:49,1400.0,1,
Pâté de canard,Nan,Charcuterie,2022-10-30 13:10:51,1500.0,1,
Pot de confiture de fraises,Nan,Condiment,2022-04-20 23:39:13,1000.0,1,
Saucisson de Lyon,Nan,Charcuterie,2022-06-09 03:17:50,1400.0,1,
Shampooing hydratant Pantene,Nan,Produits de soin capillaire,2022-07-13 00:45:33,1500.0,1,
Rillettes de thon au citron,Nan,Charcuterie,2022-09-24 22:45:36,1500.0,1,
Paquet de popcorn sucré,Nan,Snack,2022-01-07 05:18:08,750.0,1,
Shampooing hydratant Pantene,Nan,Produits de soin capillaire,2022-04-02 04:13:01,1500.0,1,
Saucisson à la pistache,Nan,Charcuterie,2022-06-12 10:47:51,1800.0,1,
Saucisson à l'anis,Nan,Charcuterie,2022-06-01 21:03:12,1400.0,1,
Sachet de grains de café arabica,Nan,Café,2022-10-12 13:39:51,1000.0,1,
Jambon cru,Nan,Charcuterie,2022-03-03 13:03:57,1700.0,1,
Dentifrice reminéralisant Elmex,Nan,Produits d'hygiène dentaire,2022-06-26 14:32:59,500.0,1,
Saucisse de dinde,Nan,Charcuterie,2022-07-02 08:54:55,1600.0,1,
Dentifrice bio blanchissant Lavera,Nan,Produits d'hygiène dentaire,2022-09-29 22:28:42,500.0,1,
Saucisson aux herbes,Nan,Charcuterie,2022-01-31 14:26:29,1400.0,1,
Bouteille de bière Guinness,Nan,Bière,2022-04-30 22:52:24,1000.0,1,
Terrine de chevreuil,Nan,Charcuterie,2022-09-27 19:01:27,1700.0,1,
Démaquillant yeux bi-phasé waterproof L'Oréal,Nan,Produits de démaquillage,2022-02-25 10:48:58,1200.0,1,
Lotion purifiante pour le visage Neutrogena,Nan,Produits de soin pour le visage,2022-04-26 07:20:02,1200.0,1,
Saucisson à la pistache,Nan,Charcuterie,2022-03-03 22:58:11,1400.0,1,
Gel douche hydratant à la grenade Neutrogena,Nan,Produits de douche,2022-04-13 20:03:14,1200.0,1,
Jambon de la Forêt Noire,Nan,Charcuterie,2022-09-13 12:30:01,2000.0,1,
Boîte de maïs en conserve,Nan,Condiment,2022-11-05 00:14:25,750.0,1,
Démaquillant bi-phasé waterproof Nivea,Nan,Produits de démaquillage,2022-04-14 08:26:24,1200.0,1,
Lait hydratant pour le corps Johnson's,Nan,Produits de soin pour le corps,2022-11-11 05:41:56,1000.0,1,
Lait hydratant pour le corps Johnson's,Nan,Produits de soin pour le corps,2022-11-10 09:51:06,1000.0,1,
Saucisson à la pistache,Nan,Charcuterie,2022-04-28 19:59:34,1800.0,1,
Lingettes démaquillantes biodégradables Nivea,Nan,Produits de démaquillage,2022-01-02 02:56:13,800.0,1,
Terrine de sanglier,Nan,Charcuterie,2022-12-05 01:09:43,1700.0,1,
Lotion hydratante pour le visage Nivea,Nan,Produits de soin pour le visage,2022-12-03 09:00:35,1200.0,1,
Jambon d'Auvergne,Nan,Charcuterie,2022-07-14 08:05:20,2000.0,1,
Andouille,Nan,Charcuterie,2022-12-14 10:01:12,1600.0,1,
Déodorant spray sans gaz propulseur Nivea,Nan,Produits d'hygiène,2022-02-28 17:08:36,800.0,1,
Terrine de canard,Nan,Charcuterie,2022-04-27 18:09:16,1700.0,1,
Shampooing hydratant Pantene,Nan,Produits de soin capillaire,2022-08-22 00:19:54,1500.0,1,
Boudin noir,Nan,Charcuterie,2022-10-23 18:52:12,1500.0,1,
Pain de mie Jacques,Nan,Alimentation,2022-03-22 09:47:34,750.0,1,
Jambon de Paris,Nan,Charcuterie,2022-01-12 17:04:20,1400.0,1,
Dentifrice reminéralisant Elmex,Nan,Produits d'hygiène dentaire,2022-10-21 10:36:53,500.0,1,
Jambon de Parme,Nan,Charcuterie,2022-10-23 20:23:41,2000.0,1,
Crème apaisante après-soleil Nivea,Nan,Produits de protection solaire,2022-08-17 05:24:13,2000.0,1,
Gel coiffant effet mat Axe,Nan,Produits de coiffure,2022-09-27 20:44:36,1500.0,1,
Dentifrice Signal,Nan,Produits d'hygiène dentaire,2022-12-13 06:36:05,500.0,1,
Déodorant anti-transpirant Vichy,Nan,Produits d'hygiène,2022-04-10 10:18:19,800.0,1,
Mortadelle,Nan,Charcuterie,2022-12-11 23:51:37,1700.0,1,
Lingettes démaquillantes biodégradables à l'huile d'amande Neutrogena,Nan,Produits de démaquillage,2022-03-09 02:09:30,800.0,1,
Gel nettoyant visage La Roche-Posay,Nan,Produits de soin pour le visage,2022-02-09 06:52:32,1800.0,1,
Bouteille de shampoing Head & Shoulders,Nan,Hygiène,2022-05-03 14:57:06,1500.0,1,
Jambon de Vendée,Nan,Charcuterie,2022-01-11 11:11:05,1500.0,1,
Déodorant sans aluminium Nivea,Nan,Produits d'hygiène,2022-01-06 12:51:56,800.0,1,
Gel douche Nivea,Nan,Produits de douche,2022-08-14 00:53:59,1200.0,1,
Terrine de faisan aux raisins,Nan,Charcuterie,2022-06-16 17:38:47,1700.0,1,
Saucisse de Toulouse,Nan,Charcuterie,2022-12-31 12:34:48,1600.0,1,
Crème de jour anti-rides Nivea,Nan,Produits de soin pour le visage,2022-11-18 01:43:16,1200.0,1,
Paquet de chips Pringles,Nan,Snack,2022-01-16 21:01:09,1000.0,1,
Gel coiffant effet mouillé Schwarzkopf,Nan,Produits de coiffure,2022-05-08 18:40:13,1500.0,1,
Lingettes démaquillantes biodégradables Nivea,Nan,Produits de démaquillage,2022-07-20 11:45:39,800.0,1,
Saucisse au poivre,Nan,Charcuterie,2022-09-03 19:50:31,1600.0,1,
Rillettes de thon,Nan,Charcuterie,2022-12-31 05:03:13,1500.0,1,
Baume après-rasage sans alcool Nivea,Nan,Produits de rasage,2022-05-23 14:42:36,700.0,1,
Paquet de café Nescafé,Nan,Café,2022-07-04 18:01:16,1500.0,1,
Déodorant roll-on sans alcool Nivea,Nan,Produits d'hygiène,2022-01-14 10:21:19,800.0,1,
Rillettes de saumon,Nan,Charcuterie,2022-11-12 16:05:23,1500.0,1,
Dentifrice protection caries Sensodyne,Nan,Produits d'hygiène dentaire,2022-03-25 02:51:48,500.0,1,
Jambon de l'Ardèche,Nan,Charcuterie,2022-09-17 11:25:46,2000.0,1,
Lingettes démaquillantes apaisantes Nivea,Nan,Produits de démaquillage,2022-10-16 06:45:05,800.0,1,
Paquet de biscottes,Nan,Biscuits,2022-12-24 18:22:51,750.0,1,
Baume à lèvres Labello,Nan,Produits de soin des lèvres,2022-02-28 02:36:52,700.0,1,
Pâté de marcassin,Nan,Charcuterie,2022-12-24 05:23:41,1900.0,1,
Paquet de riz complet,Nan,Alimentation,2022-12-11 01:13:40,1500.0,1,
Sachet de feuilles de thé,Nan,Thé,2022-05-04 14:24:34,500.0,1,
Jambon de la Forêt Noire,Nan,Charcuterie,2022-04-04 07:43:58,2000.0,1,
Crème pour les mains Neutrogena,Nan,Produits de soin pour les mains,2022-03-03 23:10:19,1000.0,1,
Déodorant Rexona,Nan,Produits d'hygiène,2022-04-19 03:11:35,800.0,1,
Dentifrice bio blanchissant Lavera,Nan,Produits d'hygiène dentaire,2022-07-14 01:41:30,500.0,1,
Déodorant sans aluminium Nivea,Nan,Produits d'hygiène,2022-07-13 01:44:56,800.0,1,
Lotion pour le corps Dove,Nan,Produits de soin pour le corps,2022-03-02 06:29:52,1200.0,1,
Jambon de l'Ardèche,Nan,Charcuterie,2022-03-26 09:55:14,2000.0,1,
Crème solaire enfant biodégradable Uriage,Nan,Produits de protection solaire,2022-10-25 10:58:38,2000.0,1,
Bouteille de sauce tomate,Nan,Condiment,2022-08-21 09:04:47,500.0,1,
Soin liftant anti-âge L'Oréal,Nan,Produits de soin pour le visage,2022-01-25 17:53:49,2500.0,1,
Sachet de grains de café arabica,Nan,Café,2022-03-05 12:25:56,1000.0,1,
Masque purifiant à l'argile L'Oréal,Nan,Produits de soin pour le visage,2022-11-23 23:58:52,1800.0,1,
Crème solaire Nivea,Nan,Produits de protection solaire,2022-12-18 03:40:51,2000.0,1,
Rillettes de canard,Nan,Charcuterie,2022-06-23 19:20:37,1400.0,1,
Crème réparatrice Cicabiafine,Nan,Produits de soin pour le corps,2022-01-27 18:25:03,1500.0,1,
Sachet de popcorn,Nan,Snack,2022-12-07 12:53:20,500.0,1,
Chorizo,Nan,Charcuterie,2022-01-21 20:53:12,2000.0,1,
Shampooing anti-chute Vichy,Nan,Produits de soin capillaire,2022-07-31 09:08:23,1800.0,1,
Bouteille de bière Guinness,Nan,Bière,2022-04-30 22:53:37,1000.0,1,
Bouteille de sauce tomate,Nan,Condiment,2022-12-27 04:18:25,500.0,1,
Saucisse de Strasbourg,Nan,Charcuterie,2022-02-15 05:14:25,1600.0,1,
Boîte de conserve de thon Petit Navire,Nan,Poisson,2022-05-27 21:12:47,1000.0,1,
Paquet de cacahuètes,Nan,Snack,2022-05-07 10:23:53,750.0,1,
Rillettes de canard,Nan,Charcuterie,2022-05-09 12:28:51,1400.0,1,
Saucisson à l'Espelette,Nan,Charcuterie,2022-03-31 20:02:24,1400.0,1,
Pot de yaourt Danone,Nan,Produits laitiers,2022-09-28 08:00:21,750.0,1,
Saucisse de Toulouse,Nan,Charcuterie,2022-06-27 20:32:17,1600.0,1,
Crème de nuit nourrissante Nivea,Nan,Produits de soin pour le visage,2022-03-21 06:52:45,1200.0,1,
Paquet de café Nescafé,Nan,Café,2022-01-22 07:02:57,1500.0,1,
Coppa,Nan,Charcuterie,2022-12-14 11:11:26,1600.0,1,
Gel douche hydratant à la grenade Neutrogena,Nan,Produits de douche,2022-09-22 08:58:34,1200.0,1,
Terrine de canard,Nan,Charcuterie,2022-12-30 23:32:46,1700.0,1,
Barre de chocolat Milka,Nan,Chocolat,2022-09-14 13:33:19,750.0,1,
Boîte de mouchoirs en papier Lotus,Nan,Hygiène,2022-03-17 21:40:23,1000.0,1,
Pâté de foie,Nan,Charcuterie,2022-11-14 04:18:07,1100.0,1,
Shampooing hydratant Timotei,Nan,Produits de soin capillaire,2022-10-31 02:53:20,1500.0,1,
Démaquillant bi-phasé Maybelline,Nan,Produits de démaquillage,2022-03-07 17:01:52,1200.0,1,
Gel douche exfoliant au sel marin Neutrogena,Nan,Produits de douche,2022-09-15 06:33:12,1200.0,1,
Sachet de thé vert,Nan,Thé,2022-07-08 23:38:47,500.0,1,
Dentifrice blancheur Oral-B,Nan,Produits d'hygiène dentaire,2022-08-01 16:39:15,500.0,1,
Spray corporel Axe,Nan,Produits de soin pour le corps,2022-01-01 10:03:14,800.0,1,
Terrine de campagne,Nan,Charcuterie,2022-02-05 05:06:32,1900.0,1,
Boîte de maïs en conserve,Nan,Condiment,2022-08-29 21:47:41,750.0,1,
Rillettes de volaille,Nan,Charcuterie,2022-04-16 05:50:19,1500.0,1,
Bouteille de vin rouge Merlot,Nan,Vin,2022-01-24 12:52:03,2500.0,1,
Déodorant Rexona,Nan,Produits d'hygiène,2022-01-10 00:32:27,800.0,1,
Rillettes de lapin,Nan,Charcuterie,2022-08-15 13:04:10,1300.0,1,
Saucisson à l'anis,Nan,Charcuterie,2022-10-20 12:31:11,1400.0,1,
Dentifrice bio Logodent,Nan,Produits d'hygiène dentaire,2022-04-25 03:37:34,500.0,1,
Rillettes de dinde,Nan,Charcuterie,2022-03-14 10:34:02,1300.0,1,
Déodorant spray sans gaz propulseur Nivea,Nan,Produits d'hygiène,2022-01-29 16:16:29,800.0,1,
Crème de jour hydratante Nivea,Nan,Produits de soin pour le visage,2022-08-28 14:09:13,1200.0,1,
Sachet de thé à la menthe,Nan,Thé,2022-10-09 01:49:03,500.0,1,
Jambon de Paris,Nan,Charcuterie,2022-06-27 03:28:56,1400.0,1,
Pâté de lapin aux noix,Nan,Charcuterie,2022-06-16 14:29:27,1800.0,1,
Sachet de sucre roux,Nan,Sucrerie,2022-03-18 17:57:20,500.0,1,
Jambon d'Auvergne,Nan,Charcuterie,2022-05-12 05:06:14,2000.0,1,
Soin hydratant matifiant Vichy,Nan,Produits de soin pour le visage,2022-10-19 13:57:45,2500.0,1,
Rillettes de thon,Nan,Charcuterie,2022-05-30 08:11:09,1500.0,1,
Saucisson aux noisettes,Nan,Charcuterie,2022-11-21 18:26:35,1400.0,1,
Sachet de sucre roux,Nan,Sucrerie,2022-07-25 12:20:51,500.0,1,
Saucisson aux noisettes,Nan,Charcuterie,2022-02-08 09:40:25,1400.0,1,
Rillettes de saumon,Nan,Charcuterie,2022-04-05 14:33:19,1500.0,1,
Barre de chocolat Milka,Nan,Chocolat,2022-09-09 11:34:09,750.0,1,
Sachet de thé à la menthe,Nan,Thé,2022-10-07 05:45:36,500.0,1,
Démaquillant pour les yeux bi-phasé Nivea,Nan,Produits de démaquillage,2022-07-16 18:17:30,1200.0,1,
Paquet de chips Pringles,Nan,Snack,2022-09-29 07:12:31,1000.0,1,
Saucisse de Morteau,Nan,Charcuterie,2022-08-02 23:27:06,1600.0,1,
Crème pour les pieds Scholl,Nan,Produits de soin pour les pieds,2022-04-13 23:11:06,1500.0,1,
Baume nourrissant pour les mains L'Occitane,Nan,Produits de soin pour les mains,2022-05-12 23:03:46,1000.0,1,
Lingettes démaquillantes réutilisables Garnier,Nan,Produits de démaquillage,2022-12-18 18:18:58,800.0,1,
Jambon des Ardennes,Nan,Charcuterie,2022-07-05 06:27:09,2000.0,1,
Sachet de sel iodé,Nan,Condiment,2022-07-17 18:15:20,500.0,1,
Baume après-rasage Gillette,Nan,Produits de rasage,2022-01-07 14:20:27,700.0,1,
Paquet de lentilles,Nan,Alimentation,2022-10-09 22:35:36,750.0,1,
Pâté de marcassin aux airelles,Nan,Charcuterie,2022-05-19 20:27:50,1800.0,1,
Pot de moutarde,Nan,Condiment,2022-07-02 19:06:49,500.0,1,
Crème solaire enfant biodégradable Uriage,Nan,Produits de protection solaire,2022-01-03 02:17:38,2000.0,1,
Pâté de lapin aux noix,Nan,Charcuterie,2022-05-18 10:23:26,1800.0,1,
Shampooing hydratant Timotei,Nan,Produits de soin capillaire,2022-11-05 18:54:45,1500.0,1,
Pot de crème hydratante Nivea,Nan,Hygiène,2022-03-27 09:04:45,1500.0,1,
Tube de dentifrice Colgate,Nan,Hygiène,2022-01-22 17:45:42,750.0,1,
Pâté de canard,Nan,Charcuterie,2022-03-11 01:55:29,1500.0,1,
Terrine de faisan aux morilles,Nan,Charcuterie,2022-10-12 11:40:16,1700.0,1,
Sachet de piment en poudre,Nan,Condiment,2022-06-05 17:29:35,500.0,1,
Crème de jour anti-taches Nivea,Nan,Produits de soin pour le visage,2022-09-21 17:17:12,1200.0,1,
Rillettes de poisson,Nan,Charcuterie,2022-01-16 02:08:32,1300.0,1,
Sac de farine de blé,Nan,Alimentation,2022-03-24 09:49:25,1500.0,1,
Déodorant bille fraîcheur Nivea,Nan,Produits d'hygiène,2022-05-10 02:42:12,800.0,1,
Gel coiffant effet brillant Schwarzkopf,Nan,Produits de coiffure,2022-06-02 11:55:13,1500.0,1,
Sachet de sucre Daddy,Nan,Sucrerie,2022-07-01 09:54:32,500.0,1,
Lingettes démaquillantes Nivea,Nan,Produits de démaquillage,2022-06-04 10:45:05,800.0,1,
Sachet de levure chimique,Nan,Condiment,2022-11-16 07:45:50,500.0,1,
Lotion tonique purifiante Neutrogena,Nan,Produits de soin pour le visage,2022-05-23 12:29:15,1200.0,1,
Pot de miel,Nan,Condiment,2022-08-20 09:15:28,1000.0,1,
Shampooing anti-pelliculaire Head & Shoulders,Nan,Produits de soin capillaire,2022-08-18 15:58:10,1500.0,1,
Lingettes démaquillantes biodégradables à l'huile d'amande Neutrogena,Nan,Produits de démaquillage,2022-10-25 10:16:19,800.0,1,
Baume à cuticules Sally Hansen,Nan,Produits de soin pour les ongles,2022-02-21 01:14:37,1000.0,1,
Soin anti-rides contour des yeux L'Oréal,Nan,Produits de soin pour le visage,2022-06-06 19:22:57,2500.0,1,
Soin hydratant matifiant Vichy,Nan,Produits de soin pour le visage,2022-12-31 13:14:00,2500.0,1,
Terrine de faisan aux morilles,Nan,Charcuterie,2022-07-03 15:59:56,1700.0,1,
Pain de savon Lux,Nan,Hygiène,2022-06-27 04:42:02,500.0,1,
Saucisse au poivre,Nan,Charcuterie,2022-10-21 01:30:38,1600.0,1,
Jambon des Ardennes,Nan,Charcuterie,2022-02-05 18:51:08,2000.0,1,
Crème réparatrice pour les pieds Scholl,Nan,Produits de soin pour les pieds,2022-03-07 11:45:38,1500.0,1,
Lotion tonique Nivea,Nan,Produits de soin pour le visage,2022-07-25 23:43:32,1200.0,1,
Terrine de marcassin,Nan,Charcuterie,2022-06-18 00:23:59,1700.0,1,
Paquet de biscuits Oreo,Nan,Biscuits,2022-03-10 01:59:22,1000.0,1,
Paquet de chips Tortilla,Nan,Snack,2022-10-24 04:47:59,1000.0,1,
Saucisson à la figue,Nan,Charcuterie,2022-05-17 06:05:57,1600.0,1,
Jambon cru,Nan,Charcuterie,2022-05-20 13:02:06,1700.0,1,
Saucisse de Montbéliard,Nan,Charcuterie,2022-09-26 19:15:45,1900.0,1,
Gel nettoyant visage La Roche-Posay,Nan,Produits de soin pour le visage,2022-08-07 12:42:07,1800.0,1,
Terrine de marcassin,Nan,Charcuterie,2022-12-12 21:10:01,1700.0,1,
Sac de farine de blé,Nan,Alimentation,2022-12-10 18:14:09,1500.0,1,
Pain de savon Lux,Nan,Hygiène,2022-06-05 03:22:36,500.0,1,
Sachet de thé vert,Nan,Thé,2022-09-26 23:01:12,500.0,1,
Gel coiffant L'Oréal,Nan,Produits de coiffure,2022-02-17 11:22:01,1500.0,1,
Lingettes démaquillantes réutilisables Garnier,Nan,Produits de démaquillage,2022-05-18 04:56:25,800.0,1,
Déodorant anti-transpirant Vichy,Nan,Produits d'hygiène,2022-02-26 23:18:24,800.0,1,
Baume à cuticules Sally Hansen,Nan,Produits de soin pour les ongles,2022-10-25 11:55:49,1000.0,1,
Déodorant bille fraîcheur Nivea,Nan,Produits d'hygiène,2022-12-26 02:58:29,800.0,1,
Paquet de pâtes Barilla,Nan,Alimentation,2022-12-04 12:47:37,1000.0,1,
